Country,amsu5privpos,amsu5privposq1,amsu5privposq3,Q1,Q3,Q1RangeOverQ3Range,Q1StDev,Q3StDev,Q1Q3AvgStDev,IQR,uniformMin,uniformMax,uniformRange,fifteenRange,fifteenMin,fifteenMax,CompareRange,Fake
Swaziland,5.329615712,6.86874351,3.935107064,3.935107064,6.86874351,0.906038244,2.067470197,2.281879612,2.174674904,2.933636446,2.395979266,8.263252158,5.867272892,1.598884714,4.530173355,6.129058069,1,NA
Djibouti,31.87311789,44.43505865,20.84426434,20.84426434,44.43505865,0.877957774,16.35115426,18.62407822,17.48761624,23.59079431,8.28232358,55.4639122,47.18158862,9.561935367,27.09215021,36.65408557,1,NA
Equatorial Guinea,41745.71348,69745.05896,16086.75953,16086.75953,69745.05896,0.916412634,38041.44396,41511.2609,39776.35243,53658.29943,-11912.58595,95404.01291,107316.5989,12523.71404,35483.85646,48007.5705,1,NA
Namibia,5299.185325,7130.053092,3654.432024,3654.432024,7130.053092,0.898346309,2438.477837,2714.407364,2576.4426,3475.621068,1823.564257,8774.806393,6951.242136,1589.755598,4504.307526,6094.063124,1,NA
Guinea-Bissau,16429.97738,20455.80641,12690.30168,12690.30168,20455.80641,0.928920645,5544.367235,5968.61235,5756.489792,7765.50473,8664.47265,24195.48211,15531.00946,4928.993214,13965.48077,18894.47399,1,NA
Gambia,14145.93196,17025.69982,11347.33519,11347.33519,17025.69982,0.971813322,4149.142728,4269.485337,4209.314033,5678.36463,8467.56733,19824.29659,11356.72926,4243.779588,12024.04217,16267.82175,1,NA
Gabon,80957.94696,106920.6841,57340.54582,57340.54582,106920.6841,0.909665303,35014.67923,38491.82675,36753.25299,49580.13828,31377.80868,130538.0852,99160.27656,24287.38409,68814.25492,93101.639,1,NA
Mauritania,12857.86421,16116.35988,9775.825906,9775.825906,16116.35988,0.945846985,4569.367389,4830.979496,4700.173443,6340.533974,6517.330236,19198.39818,12681.06795,3857.359263,10929.18458,14786.54384,1,NA
Congo,163577.2515,223904.0544,106902.0561,106902.0561,223904.0544,0.939469567,84025.49355,89439.29266,86732.39311,117001.9983,46575.2532,280579.2498,234003.9966,49073.17545,139040.6638,188113.8392,1,NA
Zimbabwe,21013.43324,25322.4719,17018.30529,17018.30529,25322.4719,0.92715064,5923.095552,6388.493195,6155.794374,8304.16661,12709.26663,29317.59985,16608.33322,6304.029972,17861.41825,24165.44823,1,NA
Liberia,303031.9485,392578.5966,215396.0707,215396.0707,392578.5966,0.978661733,129927.1724,132760.0417,131343.607,177182.5259,125849.4226,480214.4744,354365.0518,90909.58455,257577.1562,348486.7408,1,NA
Burundi,128086.045,150454.4061,106366.1441,106366.1441,150454.4061,0.971009937,32201.48391,33162.87784,32682.18087,44088.262,83997.783,172174.307,88176.524,38425.8135,108873.1383,147298.9518,1,NA
Central African Republic,577328.0863,665916.0909,489453.1528,489453.1528,665916.0909,0.991950704,130281.5915,131338.7763,130810.1839,176462.9381,400865.1482,753791.0244,352925.8762,173198.4259,490728.8734,663927.2992,1,NA
Zambia,270082.501,323304.6398,218577.6828,218577.6828,323304.6398,0.967732965,76359.99733,78906.06197,77633.02965,104726.957,165355.544,374809.458,209453.914,81024.7503,229570.1259,310594.8762,1,NA
Senegal,137347.9772,161657.3452,113525.91,113525.91,161657.3452,0.979954197,35318.11297,36040.57524,35679.34411,48131.4352,89216.542,185479.4124,96262.8704,41204.39316,116745.7806,157950.1738,1,44
Somalia,63210.02058,74921.20241,52024.88135,52024.88135,74921.20241,0.955082023,16582.86024,17362.76031,16972.81027,22896.32106,40313.69952,86106.34164,45792.64212,18963.00617,53728.51749,72691.52367,1,NA
