Indicator,Year,Country,Numeric
Number of deaths,2010,Afghanistan,74.46
Number of deaths,2010,Albania,0
Number of deaths,2010,Algeria,0
Number of deaths,2010,Andorra,0
Number of deaths,2010,Angola,12128.23
Number of deaths,2010,Antigua and Barbuda,0
Number of deaths,2010,Argentina,0
Number of deaths,2010,Armenia,0
Number of deaths,2010,Australia,0
Number of deaths,2010,Austria,0
Number of deaths,2010,Azerbaijan,0
Number of deaths,2010,Bahamas,0
Number of deaths,2010,Bahrain,0
Number of deaths,2010,Bangladesh,781.66
Number of deaths,2010,Barbados,0
Number of deaths,2010,Belarus,0
Number of deaths,2010,Belgium,0
Number of deaths,2010,Belize,0
Number of deaths,2010,Benin,8957.43
Number of deaths,2010,Bhutan,0.54
Number of deaths,2010,Bolivia (Plurinational State of),1.54
Number of deaths,2010,Bosnia and Herzegovina,0
Number of deaths,2010,Botswana,5.06
Number of deaths,2010,Brazil,52.26
Number of deaths,2010,Brunei Darussalam,0
Number of deaths,2010,Bulgaria,0
Number of deaths,2010,Burkina Faso,29367.5
Number of deaths,2010,Burundi,1354.76
Number of deaths,2010,Cambodia,330.84
Number of deaths,2010,Cameroon,15183.35
Number of deaths,2010,Canada,0
Number of deaths,2010,Cape Verde,0.63
Number of deaths,2010,Central African Republic,6087.11
Number of deaths,2010,Chad,16355.53
Number of deaths,2010,Chile,0
Number of deaths,2010,China,2.21
Number of deaths,2010,Colombia,46.4
Number of deaths,2010,Comoros,313.13
Number of deaths,2010,Congo,3302.58
Number of deaths,2010,Democratic Republic of the Congo,81399.89
Number of deaths,2010,Cook Islands,0
Number of deaths,2010,Costa Rica,0
Number of deaths,2010,Cote d'Ivoire,20554.29
Number of deaths,2010,Croatia,0
Number of deaths,2010,Cuba,0
Number of deaths,2010,Cyprus,0
Number of deaths,2010,Czech Republic,0
Number of deaths,2010,Democratic People's Republic of Korea,0
Number of deaths,2010,Denmark,0
Number of deaths,2010,Djibouti,13.2
Number of deaths,2010,Dominica,0
Number of deaths,2010,Dominican Republic,7.34
Number of deaths,2010,Ecuador,0.39
Number of deaths,2010,Egypt,0
Number of deaths,2010,El Salvador,0
Number of deaths,2010,Equatorial Guinea,616.88
Number of deaths,2010,Eritrea,156.25
Number of deaths,2010,Estonia,0
Number of deaths,2010,Ethiopia,4513.84
Number of deaths,2010,Fiji,0
Number of deaths,2010,Finland,0
Number of deaths,2010,France,0
Number of deaths,2010,Gabon,452.84
Number of deaths,2010,Gambia,1237.69
Number of deaths,2010,Georgia,0
Number of deaths,2010,Germany,0
Number of deaths,2010,Ghana,10245.85
Number of deaths,2010,Greece,0
Number of deaths,2010,Grenada,0
Number of deaths,2010,Guatemala,0.17
Number of deaths,2010,Guinea,13041
Number of deaths,2010,Guinea-Bissau,1505.42
Number of deaths,2010,Guyana,23.9
Number of deaths,2010,Haiti,179.09
Number of deaths,2010,Honduras,2.04
Number of deaths,2010,Hungary,0
Number of deaths,2010,Iceland,0
Number of deaths,2010,India,7740.83
Number of deaths,2010,Indonesia,2366.51
Number of deaths,2010,Iran (Islamic Republic of),0.2
Number of deaths,2010,Iraq,0
Number of deaths,2010,Ireland,0
Number of deaths,2010,Israel,0
Number of deaths,2010,Italy,0
Number of deaths,2010,Jamaica,0
Number of deaths,2010,Japan,0
Number of deaths,2010,Jordan,0
Number of deaths,2010,Kazakhstan,0
Number of deaths,2010,Kenya,3156.46
Number of deaths,2010,Kiribati,0
Number of deaths,2010,Kuwait,0
Number of deaths,2010,Kyrgyzstan,0
Number of deaths,2010,Lao People's Democratic Republic,67.68
Number of deaths,2010,Latvia,0
Number of deaths,2010,Lebanon,0
Number of deaths,2010,Lesotho,0
Number of deaths,2010,Liberia,3058.36
Number of deaths,2010,Libya,0
Number of deaths,2010,Lithuania,0
Number of deaths,2010,Luxembourg,0
Number of deaths,2010,Madagascar,2656.09
Number of deaths,2010,Malawi,7603.71
Number of deaths,2010,Malaysia,5.16
Number of deaths,2010,Maldives,0
Number of deaths,2010,Mali,19349.4
Number of deaths,2010,Malta,0
Number of deaths,2010,Marshall Islands,0
Number of deaths,2010,Mauritania,853.03
Number of deaths,2010,Mauritius,0
Number of deaths,2010,Mexico,0
Number of deaths,2010,Micronesia (Federated States of),0
Number of deaths,2010,Monaco,0
Number of deaths,2010,Mongolia,0
Number of deaths,2010,Montenegro,0
Number of deaths,2010,Morocco,0
Number of deaths,2010,Mozambique,22482.18
Number of deaths,2010,Myanmar,815.12
Number of deaths,2010,Namibia,4.05
Number of deaths,2010,Nauru,0
Number of deaths,2010,Nepal,11.27
Number of deaths,2010,Netherlands,0
Number of deaths,2010,New Zealand,0
Number of deaths,2010,Nicaragua,0.27
Number of deaths,2010,Niger,15085.4
Number of deaths,2010,Nigeria,176793.4
Number of deaths,2010,Niue,0
Number of deaths,2010,Norway,0
Number of deaths,2010,Oman,0
Number of deaths,2010,Pakistan,772.54
Number of deaths,2010,Palau,0
Number of deaths,2010,Panama,0
Number of deaths,2010,Papua New Guinea,1305.68
Number of deaths,2010,Paraguay,0
Number of deaths,2010,Peru,15.98
Number of deaths,2010,Philippines,41.62
Number of deaths,2010,Poland,0
Number of deaths,2010,Portugal,0
Number of deaths,2010,Qatar,0
Number of deaths,2010,Republic of Korea,0
Number of deaths,2010,Republic of Moldova,0
Number of deaths,2010,Romania,0
Number of deaths,2010,Russian Federation,0
Number of deaths,2010,Rwanda,499.51
Number of deaths,2010,Saint Kitts and Nevis,0
Number of deaths,2010,Saint Lucia,0
Number of deaths,2010,Saint Vincent and the Grenadines,0
Number of deaths,2010,Samoa,0
Number of deaths,2010,San Marino,0
Number of deaths,2010,Sao Tome and Principe,15.78
Number of deaths,2010,Saudi Arabia,0
Number of deaths,2010,Senegal,4967.83
Number of deaths,2010,Serbia,0
Number of deaths,2010,Seychelles,0
Number of deaths,2010,Sierra Leone,8830.58
Number of deaths,2010,Singapore,0
Number of deaths,2010,Slovakia,0
Number of deaths,2010,Slovenia,0
Number of deaths,2010,Solomon Islands,43.41
Number of deaths,2010,Somalia,4063.45
Number of deaths,2010,South Africa,21.79
Number of deaths,2010,Spain,0
Number of deaths,2010,Sri Lanka,0.04
Number of deaths,2010,Sudan,4795.74
Number of deaths,2010,Suriname,0.5
Number of deaths,2010,Swaziland,0.51
Number of deaths,2010,Sweden,0
Number of deaths,2010,Switzerland,0
Number of deaths,2010,Syrian Arab Republic,0
Number of deaths,2010,Tajikistan,0
Number of deaths,2010,Tanzania,14714.96
Number of deaths,2010,Thailand,39.25
Number of deaths,2010,The former Yugoslav Republic of Macedonia,0
Number of deaths,2010,Timor-Leste,94.49
Number of deaths,2010,Togo,3424.89
Number of deaths,2010,Tonga,0
Number of deaths,2010,Trinidad and Tobago,0
Number of deaths,2010,Tunisia,0
Number of deaths,2010,Turkey,0
Number of deaths,2010,Turkmenistan,0
Number of deaths,2010,Tuvalu,0
Number of deaths,2010,Uganda,18966.3
Number of deaths,2010,Ukraine,0
Number of deaths,2010,United Arab Emirates,0
Number of deaths,2010,United Kingdom,0
Number of deaths,2010,United States of America,0
Number of deaths,2010,Uruguay,0
Number of deaths,2010,Uzbekistan,0
Number of deaths,2010,Vanuatu,18.4
Number of deaths,2010,Venezuela (Bolivarian Republic of),11.83
Number of deaths,2010,Viet Nam,30.2
Number of deaths,2010,Yemen,474.47
Number of deaths,2010,Zambia,7927.79
Number of deaths,2010,Zimbabwe,2328.49
