Country,Year,Number of under-five deaths (thousands),Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Angola,2012,148,164
Benin,2012,32,90
Burkina Faso,2012,66,102
Burundi,2012,43,104
Cameroon,2012,74,94.9
Central African Republic,2012,19,128.6
Chad,2012,150,82
Congo,2012,15,96
Cote d'Ivoire,2012,75,107.6
Democratic Republic of the Congo,2012,391,145.7
Djibouti,2012,2,80.9
Equatorial Guinea,2012,3,100.3
Ethiopia,2012,205,68.3
Gabon,2012,62,3
Gambia,2012,5,72.9
Ghana,2012,56,72
Guinea,2012,41,101.2
Guinea-Bissau,2012,8,129.1
Kenya,2012,108,72.9
Liberia,2012,11,74.8
Madagascar,2012,44,58.2
Malawi,2012,43,71
Mali,2012,83,128
Mauritania,2012,11,84
Mozambique,2012,84,89.7
Namibia,2012,2,38.7
Niger,2012,91,113.5
Nigeria,2012,827,123.7
Rwanda,2012,24,55
Senegal,2012,30,60
Sierra Leone,2012,39,182
Somalia,2012,65,147
Sudan,2012,89,73
Swaziland,2012,3,80
Tanzania,2012,98,54
Togo,2012,22,96
Uganda,2012,103,69
Zambia,2012,50,88.5
Zimbabwe,2012,39,89.8
